Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"ESP_D-","OffPage","PAGE1","1","SCHEMATIC1","U1.13,U5.4,U5.8","769","136","3D","P[1]"
"ESP_D-","OffPage","PAGE1","1","SCHEMATIC1","U1.13,U5.4,U5.8","348","349","4C","P[1]"
"ESP_D-","OffPage","PAGE1","1","SCHEMATIC1","U1.13,U5.4,U5.8","144","359","5C","P[1]"
"RST_ESP32","OffPage","PAGE1","1","SCHEMATIC1","C5.2,J1.4,R5.1,S1.1,S1.2,U1.3","569","86","4D","P[1]"
"RST_ESP32","OffPage","PAGE1","1","SCHEMATIC1","C5.2,J1.4,R5.1,S1.1,S1.2,U1.3","1346","497","1B","P[1]"
"RST_ESP32","OffPage","PAGE1","1","SCHEMATIC1","C5.2,J1.4,R5.1,S1.1,S1.2,U1.3","1267","295","1C","P[1]"
"IO0","OffPage","PAGE1","1","SCHEMATIC1","C4.2,J1.3,R6.1,S2.1,S2.2,U1.27","569","136","4D","P[1]"
"IO0","OffPage","PAGE1","1","SCHEMATIC1","C4.2,J1.3,R6.1,S2.1,S2.2,U1.27","1158","497","2B","P[1]"
"IO0","OffPage","PAGE1","1","SCHEMATIC1","C4.2,J1.3,R6.1,S2.1,S2.2,U1.27","1267","285","1C","P[1]"
"UART0_ESP_RX","OffPage","PAGE1","1","SCHEMATIC1","J1.1,U1.36","569","106","4D","P[1]"
"UART0_ESP_RX","OffPage","PAGE1","1","SCHEMATIC1","J1.1,U1.36","1267","265","1C","P[1]"
"D-","OffPage","PAGE1","1","SCHEMATIC1","J2.02,U5.6","144","349","5C","P[1]"
"D-","OffPage","PAGE1","1","SCHEMATIC1","J2.02,U5.6","50","100","5D","P[1]"
"ESP_D+","OffPage","PAGE1","1","SCHEMATIC1","U1.14,U5.3,U5.9","348","319","4C","P[1]"
"ESP_D+","OffPage","PAGE1","1","SCHEMATIC1","U1.14,U5.3,U5.9","769","146","3D","P[1]"
"ESP_D+","OffPage","PAGE1","1","SCHEMATIC1","U1.14,U5.3,U5.9","144","329","5C","P[1]"
"USB_D-","OffPage","PAGE1","1","SCHEMATIC1","J3.02","272","98","5D","Property Not Present"
"SEL_USB","OffPage","PAGE1","1","SCHEMATIC1","U1.15,U5.2","146","289","5C","P[1]"
"SEL_USB","OffPage","PAGE1","1","SCHEMATIC1","U1.15,U5.2","569","166","4D","P[1]"
"IO_24V","OffPage","PAGE1","1","SCHEMATIC1","R4.1,U1.28,U2.6","769","166","3D","P[1]"
"IO_24V","OffPage","PAGE1","1","SCHEMATIC1","R4.1,U1.28,U2.6","1415","87","1D","P[1]"
"STATUS_ESP","OffPage","PAGE1","1","SCHEMATIC1","U1.4,U4.4","123","554","5B","P[1]"
"STATUS_ESP","OffPage","PAGE1","1","SCHEMATIC1","U1.4,U4.4","569","176","4D","P[1]"
"D+","OffPage","PAGE1","1","SCHEMATIC1","J2.03,U5.7","144","319","5C","P[1]"
"D+","OffPage","PAGE1","1","SCHEMATIC1","J2.03,U5.7","50","110","5D","P[1]"
"USB_D+","OffPage","PAGE1","1","SCHEMATIC1","J3.03","272","108","5D","Property Not Present"
"UART0_ESP_TX","OffPage","PAGE1","1","SCHEMATIC1","J1.2,U1.37","569","116","4D","P[1]"
"UART0_ESP_TX","OffPage","PAGE1","1","SCHEMATIC1","J1.2,U1.37","1267","275","1C","P[1]"
